time_s,nodeId,x,y,z
36,19,436.721,-92.906,3.519
37,0,447.036,-106.081,23.506
37,1,468.143,-108.461,12.049
37,2,463.08,-93.608,-9.236
37,3,437.988,-77.868,-15.211
37,4,457.05,-111.928,-11.873
37,5,469.119,-77.598,-12.44
37,6,460.612,-93.255,6.877
37,7,456.591,-89.437,-4.891
37,8,452.072,-74.824,21.629
37,9,448.095,-105.487,-17.583
37,10,438.187,-84.754,10.908
37,11,471.828,-110.37,0.323
37,12,439.722,-108.565,-1.301
37,13,474.255,-75.599,5.675
37,14,456.583,-69.582,6.795
37,15,445.606,-116.507,7.094
37,16,429.441,-83.702,-3.771
37,17,455.882,-79.011,-20.86
37,18,437.715,-72.745,3.76
37,19,449.335,-94.759,3.391
38,0,459.883,-105.425,22.933
38,1,480.844,-108.826,11.981
38,2,476.346,-93.254,-9.123
38,3,451.297,-78.174,-14.633
38,4,469.244,-111.345,-10.373
38,5,482.077,-78.7,-11.418
38,6,473.305,-93.403,7.285
38,7,469.182,-90.739,-4.088
38,8,465.001,-76.113,20.492
38,9,460.589,-105.69,-16.434
38,10,449.889,-84.529,11.165
38,11,483.574,-109.332,0.218
38,12,452.349,-109.23,-0.996
38,13,485.733,-77.05,5.669
38,14,469.579,-70.106,6.025
38,15,458.361,-115.272,6.768
38,16,443.496,-84.828,-3.379
38,17,467.575,-79.125,-19.859
38,18,451.481,-74.707,3.81
38,19,462.213,-95.901,3.531
39,0,472.672,-104.651,22.202
39,1,492.568,-108.832,12.038
39,2,489.285,-93.93,-9.132
39,3,465.703,-78.456,-14.073
39,4,482.298,-110.947,-9.015
39,5,492.69,-81.423,-10.333
39,6,487.044,-93.295,7.862
39,7,480.619,-89.798,-3.452
39,8,477.5,-77.48,19.472
39,9,473.058,-105.053,-15.302
39,10,464.387,-85.218,11.416
39,11,495.848,-109.778,0.068
39,12,464.352,-109.766,-0.823
39,13,497.215,-76.876,5.6
39,14,481.483,-70.293,5.226
39,15,471.123,-115.15,6.6
39,16,456.388,-84.846,-3.098
39,17,480.063,-80.535,-18.79
39,18,466.589,-74.063,3.837
39,19,474.711,-96.874,3.643
40,0,484.972,-105.234,21.559
40,1,504.957,-108.36,12.017
40,2,503.381,-93.785,-9.259
40,3,478.636,-78.632,-13.505
40,4,495.598,-109.582,-7.942
40,5,504.953,-80.058,-9.308
40,6,499.63,-92.163,8.549
40,7,492.492,-90.551,-2.95
40,8,490.437,-79.298,18.5
